PR094  Photo-prod          07/09 Arndt  06/19/14
 487   3.28207277E-01  0.12093         0.01153       
 488   2.96874931E-01  0.1122          0.0109        
 489   2.65556127E-01  0.0804          0.00852       
 490   2.34463509E-01  0.06052         0.00728       
 491   2.03129107E-01  0.05071         0.00691       
! 2775.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 492   8.28158175E-01  0.39344         0.03145       
 493   7.96846379E-01  0.2739          0.02189       
 494   7.6559551E-01   0.1477          0.01181       
 495   7.34322513E-01  0.18915         0.01512       
 496   7.03146548E-01  0.19104         0.01527       
 497   6.71849879E-01  0.17913         0.01432       
 498   6.40645912E-01  0.16845         0.01347       
 499   6.09315151E-01  0.14797         0.01183       
 500   5.78142481E-01  0.16592         0.01326       
 501   5.46832807E-01  0.22071         0.01764       
 502   5.15636372E-01  0.21514         0.0172        
 503   4.84351611E-01  0.2351          0.01879       
 504   4.53057199E-01  0.21736         0.01737       
 505   4.21827206E-01  0.17858         0.01427       
 506   3.90570472E-01  0.16522         0.01321       
 507   3.59345405E-01  0.14691         0.01174       
 508   3.28207277E-01  0.12448         0.00995       
 509   2.96874931E-01  0.11548         0.00923       
 510   2.65556127E-01  0.08878         0.0071        
 511   2.34463509E-01  0.06861         0.00548       
 512   2.03129107E-01  0.04546         0.00363       
